quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,231,2714,0.28328287,0.46399588,0.0090717874,6
0,231,390,0.34488256,0.98652753,-0.012715334,6
0,232,1276,0.11337951,0.36166332,0.0040944874,4
0,232,1563,0.24286309,0.52581638,0.026942471,5
0,233,1229,0.30339508,0.64931733,-0.016428334,19
0,233,2466,0.24841929,1.156544,-0.019579201,4
0,234,1161,0.29832591,1.0817905,-0.00061690431,7
0,234,1407,0.2810306,0.99383928,-0.0015696672,6
0,235,1161,0.28092324,0.59715074,0.0036512553,7
0,235,1805,0.21255807,0.74670528,0.020766525,7
0,236,878,0.18217294,0.64718946,0.015444862,6
0,238,2260,0.29865857,0.96836599,-0.016171164,5
0,239,2853,0.22125456,0.9264752,-0.0058629317,4
0,239,861,0.3100937,0.87875341,-0.012862437,6
0,241,607,0.29086927,0.91179544,0.0086886532,12
0,242,1392,0.13922916,0.57277434,0.049720177,5
0,242,1478,0.2650682,0.96572961,-0.0013057687,4
0,242,499,0.3452828,0.79377364,-0.0063722102,16
0,243,2708,0.28709559,1.1170502,0.010771731,4
0,244,2708,0.2565002,0.52825572,0.032710472,4
0,245,1561,0.073476695,0.47397484,0.0085136202,8
0,245,2235,0.3052409,0.48055407,-0.012338371,9
0,245,2844,0.30466596,0.76621382,0.011830342,4
0,245,964,0.3051954,1.0264783,0.0031870511,6
0,246,964,0.30335509,0.52589796,0.0028326811,5
0,248,2034,0.2573779,1.0620682,0.0010600132,4
0,249,2005,0.23094353,0.83348152,0.019317342,7
0,24,2239,0.30304828,1.0677405,-0.008066137,5
0,250,3052,0.30061273,1.0693445,0.00068254232,5
0,251,3052,0.23093618,0.59081031,0.032835621,4
0,252,1096,0.15251786,1.1013501,0.039483924,5
0,252,1512,0.23399696,0.63249299,0.028846525,4
0,252,1919,0.24939972,0.750564,0.013473226,9
0,252,913,0.28006801,0.98873922,-0.013249823,4
0,252,997,0.25797476,0.88248381,0.003947202,6
0,254,951,0.30286387,0.98760975,0.00081426143,5
0,255,585,1.0169751e-16,0.36456427,-0.005567656,8
